reviewContent,sentiment,corpus
Pengiriman tidak sesuai tanggal yang tertera,negatif,kirim sesuai tanggal tera
Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,negatif,beli disiniparah bangetbarang 2 mi ggu alas nya ganggu
hati hati ini tv ga bisa pake USB,negatif,hati hati televisi pakai usb
Ini spek ram.nya 2GB atau 4GB,negatif,spesifikasi ram 2gb 4gb
"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",negatif,juragan saran berhatihati beli flashdisk kirim flashdisk rekondisi daur ulang bekas tipu harga mas dosa mas bohong flashdisknya tulis nama aryo sengaja hapus bersih file kirim flashdisk error makan duit haram mas kenyang berkah
"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",negatif,barang cepat kualitas fd bagus file copy corrupt
"korup terus klo di copy ke fd,mengecewakan",negatif,korup copy fdmengecewakan
ram 8gb atau 4gb?,negatif,ram 8gb 4gb
Mau cicilan gmn caranya6,negatif,cicil caranya6
"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",negatif,barang terimapihak lazada bilang sidah terima cek jne lhoksukon aceh utara barang adaada tigas ramah solusk email rekan jne rekan lazada reapon nasih barang harga 1 juta an
"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",negatif,nih lazada lihat iklan flashdisk kirim flashdrivemohon penjelasannyabarang bukasaya x kecewa
Barang yg dikirim tidak seperti yang di gambar,negatif,barang kirim gambar
Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,negatif,proses gagal pesan
Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,negatif,barang alamat cek situs jnenya alamat tuju salah mohon periksa beli barang bebarengan beli barang
"flashdisk 64gb tpi isi cm 2gb,gk bs dipakai",negatif,flashdisk 64gb isi 2gbgk pakai
Tidak bisa berfungsi menyimpan data,negatif,fungsi simpan data
"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",negatif,barang hitamyg putih pakai
"Pengiriman lama, warna yang dateng putih bukan hitam",negatif,kirim warna putih hitam
"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",negatif,pesan sesuai kirim warna pesan hitam dikirm putih pakai labtop anak
"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",negatif,flashdisk dicopy file baca doang beli 2 tipu garansi hati hati beli
"Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",negatif,barang kota 2 minggubkemudian cek barang muncul bungkus tulis toshiba kapasitas 8 gb flashdisk tulis 64 gb coba kopi file nyata failed hasil kopi nyata buka produk gagal oem asalasalan jual murah toko lanjur beli usaha jual
rusak gk bisa dipakai 😢 kapok,negatif,rusak pakai kapok
Ga bisa dipakai...,negatif,pakai
Barangnya lama sekali,negatif,barang
"produk jauh dari yang diharapkan, sangat kecewa.",negatif,produk harap kecewa
Kok dapet nya warna biru,negatif,nya warna biru
"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",negatif,kirim cepat kualitas gambar bagus utama kualitas suara oke dvb t2 fungsi remote error tombol source fungsi ganti usb hdmi mesti pencet tombol fisik televisi ganti seller suruh contact aquanya aqua remote rusak beli ganti toko ribet deh pingpong
Saya pesan uang sdah d transfer tapi barng tdk sampai,negatif,pesan uang transfer barng
Klu cicilan gmn cranya yah,negatif,cicil cranya
Tidak bisa di kurangi ya biar jadi 1.000000,negatif,biar 10
Ini bayar di tempat apa tidak?,negatif,bayar
Caranya gmn ya,negatif,
"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",negatif,tulis khusus jabodetabektp sedia diwilyah lampung beli dicancel daerah dtulis sedia diwilanda
Bisa kiri. Ke kota blitar tidak?!,negatif,kiri kota blitar
Klw.di kirim k karawang bisa gak?,negatif,klwdi kirim k karawang
Gambarnya tidak keliatan,negatif,gambar lihat
"TV nya sudah datang alhamdulillah, amin.",negatif,televisi nya alhamdulillah amin
"Barang sudah diterima dan pengiriman lumayan cepat, tapi ada 2 hal yg harus penjual perhatikan: 1. di etalase tv dijual dengan bonus free Braket, tapi yang datang cuma tv nya doang braketnya ga ada, 2. ongkir tercantum Rp 200.000 saya kirim sesuai yg tercantum, tp pas di cek di resi yang tercantum oleh ekspedisi Cobra ternyara cuma 75.000. tetep konsumen yang dirugikan. toko ini jadi catatan buat saya kecuali menylesaikannya",negatif,barang terima kirim lumayan cepat 2 jual perhati 1 etalase televisi jual bonus free braket televisi nya doang braketnya 2 ongkos kirim cantum rupiah 20 kirim sesuai cantum pas cek resi cantum ekspedisi cobra ternyara 750 konsumen rugi toko catat menylesaikannya
virus shortcut,negatif,virus jalan pintas
Gan saya pesan warna biru kok yang datang warna merah?,negatif,juragan pesan warna biru warna merah
Barang yg di kirim tidak sesuai dengan yang di tampilkan,negatif,barang kirim sesuai tampil
"2bulan pake crashed, pdhl ga prnah jatoh",negatif,2bulan pakai crashed jatuh
Cukup memuaskan,negatif,muas
"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",negatif,my passport my passport ultra tulis deskripsi
tidak sesuai gambar,negatif,sesuai gambar
"3 kali cicilan,maksudnya 3 bln ya,persyaratan untuk kredit apa aja ya.",negatif,3 kali cicilanmaksudnya 3 yapersyaratan kredit
Kualitas barangny bisa di jamin g ya,negatif,kualitas barangny jamin
"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",negatif,2 minggu barang nyampeorder tanggal 27 april 2017status pesan prosesgmana nih lazada
"Mohon bantuan nya, kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang, mohon diperhatikan ! Terima kasih",negatif,mohon bantu nya barang 21hari tunggu kunjung mohon perhati terima kasih
Tidak bisa menyimpan data,negatif,simpan data
Karna tidak bisa nyimpan film dan data,negatif,simpan film data
Sya mau kembaliin produk TV ichico by yg kmrn yg psen trnyata pas smpai di rmh gambar ny ga ada suarany ad,negatif,kembaliin produk televisi ichico by kemarin psen nyata pas rumah gambar nya suarany
USB nya cm pormalitas doang gx bs d gunakn,negatif,usb nya pormalitas doang gunakn
Knapa pesanan sayadi batalkan??,negatif,pesan sayadi batal
Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,negatif,kecewa banget sih tranfer batalin barang nya sih lazada
"Tertera di depan masih ada stok, setelah di klik beli terjadi kesalahan. Mohon diperbaiki",negatif,tera stok klik beli salah mohon
Bisa bayar ditempat?,negatif,bayar
Flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni,negatif,flashdisk nya cepat rusak simpan film nih
Os sudah terisi kan. Kalau sdh pakai os win berapa gan?,negatif,os isi pakai os menang juragan
kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,negatif,pesan mostnya dikasihsaya rugi
Mau tanya bagaimana pesanan saya .. notifikasi di akun barang sudah sampai tapi hari ini saya belom terima padahal pengirimannya pake gojek tolong di cek kembali ...,negatif,pesan notifikasi akun barang terima kirim pakai gojek cek
Baru berapa bulan tv mati gak jelas.,negatif,televisi mati
Bagi Yang Minat Order/Pesan Barang Kami.Untuk Lebih Lanjut Silakan add Whatsapp/WA 085342633687 Langsung Dari Resseller Toko...pengirima free ongkir se indonesia.Terimah Kasih...!!!,negatif,minat orderpesan barang kamiuntuk sila add whatsappwa 085342633687 langsung resseller tokopengirima free ongkos kirim indonesiaterimah kasih
"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",negatif,minat orderpesan barang sila add whatsappwa 085200343400langsung reseller tokoterimah kasih
Masa sya pesen 9agustus kode voc ia gx bisa d pake trus gmna ni penanganan ia mkcy,negatif,pesan 9agustus kode voc pakai nih tangan mkcy
Cara mencicilnya gmna?klw gak ad kartu kredit,negatif,cicil gmnaklw kartu kredit
Kalo cicilan syarat y ap saja...,negatif,cicil syarat iya
"Kami menggunakan windows 10 sedangkan  yang dikirim adalah produk untuk windows dibawahnya, dan kamipun sudah mencoba untuk masuk ke windows 7 namun tetap tidak bisa digunakan, kami minta pengembalian dana saja. karna ternyata produk ini tidak sesuai harapan kami.",negatif,windows 10 kirim produk windows coba masuk windows 7 dana nyata produk sesuai harap
"klo baca ulasan jadi ragu mo beli barang kaya gini,takut rusak saat pengiriman.takut ga d kirim kirim.sebenarnya saya sih sering beli d lazada.selama ini sih masih oke oke aja.tolong dong lazada jangan kecewain pelanggan.klo ada keluhan cepat respon.",negatif,baca ulas ragu beli barang kayak ginitakut rusak pengirimantakut kirim kirimsebenarnya sih beli lazadaselama sih oke oke ajatolong lazada kecewain pelangganklo keluh cepat respon
Liat-liat dulu om...,negatif,liatliat om
Barang bagus namun Saya kurang keroscek Sebelum memesan ternyata itu bukan hardist cuman hanya Chasing doang itu kesalahan saya... makasih,negatif,barang bagus keroscek mes nyata hardist chasing doang salah terima kasih
barang tidak bisa digunakan sebagaimana fungsinya,negatif,barang fungsi
"Mau tanya., ini hardist atau bukn??",negatif,hardist
"Kok saya tunggu dari kemarin2 belum datang,,,",negatif,tunggu kemarin kemarin
Gan uda 3 har ko belum nyampek jga barangnya,negatif,juragan 3 har barang
3tb harga segituu ????,negatif,3tb harga segituu
Atas nama jaya Fajarot,negatif,nama jaya fajarot
Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,negatif,hardisk pc takut nya beli muat ukur hardisk pc juragan mohon
ternyata ga bisa dipakai. pdhl udah beli dua..,negatif,nyata pakai beli
barang nya tidak terbaca di laptop,negatif,barang nya baca laptop
"Tampilan bagus tapi,ngk bisa terdeteksi laptop...",negatif,tampil bagus tapingk deteksi laptop
ini kata nya external HD kenapa saya hanya terima kotak kosong saja..,negatif,nya external high definition terima kotak kosong
"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",negatif,clickbait banget judul beli 2 nyata casing untung kasih kabel usb
Saya mau uang saya dikembalikan !,negatif,uang
wadah exten,negatif,wadah exten
Maaf mas tidak usah dikirim. Maaf sebelumnya.,negatif,maaf mas kirim maaf
Jangan di beli gan,negatif,beli juragan
serius gan 3 TB,negatif,serius juragan 3 tb
"Baru 6 bulan pakai,  sudah rusak.  Mati tidak bisa di charge, di Youtube banyak kasus yang sama",negatif,6 pakai rusak mati charge youtube
"Barang jelek, saya ditipu",negatif,barang jelek tipu
Apakah windows-nya original?,negatif,windowsnya original
Mahal bgt gag punya duitttt,negatif,mahal banget duit
Gan tolong cek barangnya kok blm nyampe juga padahal say pesan dari tanggal 17 mei,negatif,juragan cek barang sayang pesan tanggal 17 mei
dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,negatif,dagang tipu bilang usb 30 tau tau usb 20 harga mahal
kabel ny rusak,negatif,kabel nya rusak
ga dapet kabelnya masa :'( cuma case DOANK hiks,negatif,kabel case doang hiks
"Awalnya bahagia bangat barang dah nyampe dalam 2 hari,  tapi waktu dicolokin ke pc,  hardisknya ga bisa kedetect dg kabel bawaannya. Seharusnya kabelnya dua cabang. Akhirnya harus minjam kabel teman.",negatif,bahagia banget barang 2 dicolokin pc hardisknya kedetect kabel bawa kabel cabang pinjam kabel teman
Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,negatif,nyata kabel tes tar moga tnx
Barang nya kira kira bagus g y semoga pas datang nanti bagus,negatif,barang nya bagus iya moga pas bagus
"Barang sampai telat, voucher antivirus sudah expired. Ada pertanggung jwbannya gak?",negatif,barang telat kupon antivirus expired tanggung jwbannya
"paling enak tuh belanja di Lazada ,kenapa? lu semua pembeli kalau mau cari untung di Lazada gampang, jadi gini lu pada beli barang lebih dari tiga biji, misal beli empat, nanti kalau sudah diterima lu pada komplain, bilang aja terima tiga tinggal foto tiga biji produk, yang satu umpetin ,udah lu pasti dipercaya, dan dijamin duit lu balik untuk barang yg dianggap belum dikirim satu lg, GW punya kasus gara2 merchant nama aneka perdana, GW beli enam ,dikirim lima, GW komplain, tapi foto gw g dipercaya karena g di foto sama kemasan, padahal GW beli barang lain yg mahal2 bgt g pernah akal-akalan, ini barang murah g seberapa , harganya g di percaya, lihat aja transaksi GW kan ketahuan, ah udah lah pokoknya mau cari untung di Lazada ikuti cara GW diatas dijamin berhasil ,komplain , Lazada Kiki  no komplain ,  inget nama merchant aneka perdana, masalah sudah sebulan masih gantung !!!!, terima kasih lazada mengalahkan rekor komet ya!!!!!! komplainya, buat jadi pertimbangan lu semua sob ,mudah-mudahan ada manfaatnya",negatif,enak belanja lazada beli cari untung lazada gampang beli barang biji beli terima komplain bilang terima tinggal foto biji produk sembunyi percaya jamin duit barang anggap kirim gue gara gara merchant nama aneka perdana gue beli enam kirim gue komplain foto gue percaya foto kemas gue beli barang mahal mahal banget akal akal barang murah harga percaya lihat transaksi gue ah pokok cari untung lazada gue jamin hasil komplain lazada kiki no komplain nama merchant aneka perdana gantung terima kasih lazada kalah rekor komet komplainya timbang bro mudah mudah manfaat
cara klaim garansi gimana y?,negatif,klaim garansi iya
"Barang sudah sampai.paket rapi .Tapi kemarin ada misi kemarin harusnya saya minta diantar pakai gojeg tapi kok di rubah pakai pengiriman biasa.tanpa konfirmasi,mungkin itu masukan saya untuk yg lainnya okelah",negatif,barang sampaipaket rapi kemarin misi kemarin pakai gojeg rubah pakai kirim biasatanpa konfirmasimungkin masuk oke
ga nyampe 2 minggu pisan,negatif,2 minggu banget
Produk tidak disertai Kartu Garansi. Invoice tidak menyatakan bahwa produk ini bergaransi,negatif,produk kartu garansi invoice nyata produk garansi
Product yang kami terima tidak bekerja dan tidak dapat di gunakan. Mohon dapat diganti,negatif,produk terima kerja mohon ganti
"Penjualnya kasih garansi berapa bulan nih, bisanya Asus 24 bulan tp ini kok cuman 1 tahun,...jadi ragu mau beli",negatif,jual kasih garansi nih asus 24 1 tahunjadi ragu beli
gw kena PHP harbolnas lazada 2 kali. musti pertebal ilmu sabar dan ikhlas....,negatif,gue kena php harbolnas lazada 2 kali tebal ilmu sabar ikhlas
Masih ada gak ini....,negatif,
"produk bagus dan original, namun pengiriman lama benget kurang lebih 1 bulan, baru sampai",negatif,produk bagus original kirim banget 1
"Mohon bantuannya untuk HDD eksternal ini tidak dapat do baca di laptop, macbook maupun pc, saya mohon untuk barang ini dapat di tukarkan yang baru",negatif,mohon bantu hdd eksternal do baca laptop macbook pc mohon barang tukar
gan...kenapa hard disk yg saya beli rusak ya?,negatif,gankenapa hard disk beli rusak
"Produk ok, tapi voucher yg tertera pd penawaran sudah expired",negatif,produk oke kupon tera tawar expired
Barang bagus tp anti virusnya kok di ganti stiker......,negatif,barang bagus anti virus ganti stiker
Saya tidak mendapatkan antivirus kaspersky yang dijanjikan ada di dalam paket ini sebagai gantinya saya hanya mendapatkan gantungan kunci yang tidak berguna mengecewakan,negatif,antivirus kaspersky janji paket ganti gantung kunci kecewa
Antivirus nya ga bisa di claim,negatif,antivirus nya klaim
Bisa windows 7?.,negatif,windows 7
Saya pesan tgl 3 Jun dan lsg byr dgn metode kirim express utk dikirim tgl 5 Jun.. Namun smpe tgl 7 Jun jam 8.30 barang blm saya terima.. Tyt metode kirim express diganti menjadi regular tnp ada konfirmasi kepada saya lebih dulu..pada saat bayar brg saya sdh kena charge biaya kirim express sdgkan kl regular free delivery..saat ditanya antara pihak Lazada dgn supplier saling tunjuk satu dgn yg lain perihal gojek yg tak kunjung datang di tgl 5 Jun..nah skr malah mrk pakai ninja express..sang ninja express malam jam 9 tgl 6 Jun telp saya utk mw kirim brg..gilaa aja alamat kirim ke kantor kagak dicek dulu pa ya jam 9 malam bru mw dikirim siapa yg mw trimain..bener2 kapok saya cukup sekali ini..,negatif,pesan tanggal 3 jun langsung bayar metode kirim express kirim tanggal 5 jun tanggal 7 jun jam 830 barang terima tyt metode kirim express ganti regular konfirmasi dulupada bayar barang kena charge biaya kirim express regular free deliverysaat lazada supplier perihal gojek kunjung tanggal 5 junnah pakai ninja expresang ninja express malam jam 9 tanggal 6 jun telepon mw kirim brggilaa alamat kirim kantor cek jam 9 malam mw kirim mw trimainbener2 kapok
Kalau HDD-nya emang 4TB?,negatif,hddnya 4tb
"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim...",negatif,3 go jek kesana tutup toko order tanggal 31 mei 2017 detik barang kirim
"Barangnya Ok, pengirimannya lama buanget capek nunggunya",negatif,barang oke kirim banget cape nunggunya
barangnya kecil banget..kirain seperti gambar gede,negatif,barang bangetkirain gambar gede
Baru pakai 3 hari hdd sudah rusak data hilang!  Jangan di beli ! Tidak di rekomendasi,negatif,pakai 3 hdd rusak data hilang beli rekomendasi
Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!,negatif,tunggu proses kirim lambat 1 minggu tau tau batal sedia promonya
Bagus gak ?,negatif,bagus
Barang ready??,negatif,barang ready
"Dari segi packing cukup bagus, kondisi fisik barang terlihat bagus dan bahan yg digunakan cukup lumayan, elegan dan simpel menurut saya.tapi sayang, begitu dicoba barang tidak berfungsi. Hanya lampu indikator saja yg menyala. tidak terdeteksi sama sekali di windows.",negatif,segi packing bagus kondisi fisik barang lihat bagus bahan lumayan elegan simpel sayatapi sayang coba barang fungsi lampu indikator nyala deteksi windows
barang sudah keterima tapi ga bisa ke detect di komputer.. mohon solusi buat pengembalian barang karena dalam paket gak ada kertas buat pengembalian barang,negatif,barang terima detect komputer mohon solusi barang paket kertas barang
Barang KW,negatif,barang kw
Kenapa saya pesan ini yang dtang mlah jam digital ? Apkah bisa di retur,negatif,pesan dtang jam digital retur
"Ada yg penyok pada casenya di bagian antena, mungkin pengiriman kurang aman dan hati2, tp untungnya masih fungsi baik. Deskripsinya ada yg gak sesuai, gak ada batre/powerbank tuh. Buku manualnya bahasa cina, ga ngerti. Coba2 sendiri akhirnya bisa, di bantu google.",negatif,penyok casenya antena kirim aman hati hati untung fungsi deskripsi sesuai batrepowerbank buku manual bahasa cina erti coba coba bantu google
Gan apa ini barang khusus djabotabek aja ke bandung ga bisa?,negatif,juragan barang khusus djabotabek bandung
MOHON BATALKAN PESANAN SAYA KARENA SAYA BERADA DILUAR KOTA,negatif,mohon batal pesan kota
Packing Fragile,negatif,packing fragile
Mohon petunjuk nya,negatif,mohon nya
"Saya nunggu seharian, kenapa ga di proses sama sekali?  Padahal saya minta pengiriman via gojek loh...",negatif,tunggu proses kirim via gojek
"kenapa saya udh 2 kali mesen tapi di batal kan terus, saya ga puas, udh nunggu lama tapi malah di batalin . . ..",negatif,2 kali mes batal puas tunggu batalin
"saya kira ini sudah ada hardisknya, ternyata masih harus beli lagi.  ini cuma alat transfernya doang.  jadi tidak kepake ini barang",negatif,hardisknya nyata beli alat transfer doang pakai barang
"Barang nya cepet datang, packing rapi. Tapi BARANG GAK BISA DI PAKE !!!",negatif,barang nya cepat packing rapi barang pakai
"barang sudah saya Terima, tetapi saat digunakan tidak berfungsi 😡",negatif,barang terima fungsi
"Unitnya bagus berjalan normal, tapi saya pesan 3 unit,2 kabel usb gak bsa dipake,error gak connect",negatif,unit bagus jalan normal pesan 3 unit2 kabel usb dipakeerror connect
pesanan gue kok ga sampe one day service padahal gue pesen pake gojek.,negatif,pesan gue one day service gue pesan pakai gojek
casenya kadang kebaca kadang ga,negatif,casenya kadang baca kadang
"Sudah lewat estimasi pengiriman, barang tak juga datang",negatif,estimasi kirim barang
Saya kira sama hardisk nya ternyata cuman alat transfernya doang gimana nih saya beli jadi ga di gunaiin??,negatif,hardisk nya nyata alat transfer doang nih beli gunaiin
"Barang dah sampe tapi ketika dicoba malah error,data gk masuk,gk muncul pemberitauan pas di pasang di laptop",negatif,barang coba errordata masukgk muncul pemberitauan pas pasang laptop
bisa dipakai buat pc.....,negatif,pakai pc
Hardisknya mana kok kosong kayak gitu mohon respon,negatif,hardisknya kosong kayak mohon respon
ini tuh hardisk apa casenya?,negatif,hardisk casenya
"sngt kecewa..,brng gk sesui foto,gambr gk jernih..,andai sja bsa di kemblikan...,saya di ptong 100rb gpp...",negatif,kecewabrng sesui fotogambr jernihandai kemblikansaya ptong 100rb
klo ditonton dari samping gk kelihatan harus dari depan,negatif,tonton samping lihat
Warna Silver Ready kaga bos? Thanks bos.,negatif,warna silver ready bos terima kasih bos
"Barangnya bagus, cuma bikin kecewa waktu pengiriman telat dr tanggal yg ditentukan, yg seharusnya barang d terima dlm 2 minggu ternyata telat sampai di minggu ke 3",negatif,barang bagus bikin kecewa kirim telat tanggal barang terima 2 minggu nyata telat minggu 3
di buang,negatif,buang
Apa Nnt ini bs kredit Gmn sie caranya.....,negatif,kredit sih
Gak bisa di pake,negatif,pakai
flash disk ga berfungsi cuy.,negatif,flash disk fungsi coy
Barang rusak,negatif,barang rusak
Barang tidak bisa di pakai jgn di jual,negatif,barang pakai jual
Kenapa bonusnya malah kabel OTG.. Dan bentuk FD nya agak beda ya,negatif,bonus kabel otg bentuk fd nya beda
nyesel se nyesel nyeselnya barangnya jelek datengnya lama lama banget tidak sesuai tglnya penjual juga tidak bertanggung jawab gada respon sama sekali dr toko nyesel banget,negatif,sesal sesal nyeselnya barang jelek datengnya banget sesuai tglnya jual tanggung respon toko sesal banget
Pesanan saya Rusak/ Tidak bisa dipergunakan,negatif,pesan rusak
"Respon dan pengiriman cepat. Tp barang diterima cacat. Tdk dipacking dgn aman pakai kayu, cuma kotak tv biasa, sampai ke alamat saya layar tv pecah. Saat ini saya sedang melakukan retur, saya kirim ulang via tiki. Tolong segera ditindaklanjuti, dikirim ulang dgn aman.",negatif,respon kirim cepat barang terima cacat bungkus aman pakai kayu kotak televisi alamat layar televisi pecah laku retur kirim ulang via tik ditindaklanjuti kirim ulang aman
kecewa . barang saya terima dalam kondisi pecah layarnya.,negatif,kecewa barang terima kondisi pecah layar
Sama speaker skali kan? garansi berapa tahun ya?,negatif,speaker garansi
yang datang warna biru.. gak sesuai gambar.. karet dalem nya beda sama gambarnya.. kegedean lagi .. hadeh ...,negatif,warna biru sesuai gambar karet nya beda gambar gede aduh
"Kondisi Barang Vs  Seharusnya Warna Merah seharusnya Hitam Ukuran 3.5"" seharusnya 2.5"" Model Tidak Sama dengan Gambar.",negatif,kondisi barang lawan warna merah hitam ukur 35 25 model gambar
"Kecewa sekali....pesan saat harbolnas (12-14 Des 2016) pas harga nya murah (sekitar 29k)...eh udah pesan ternyata di akhir bulan pesanan ditolak.... Kapok deh belanja di seller ini, gak tau barangnya gak ada atau takut rugi ngejualnya...",negatif,kecewa sekalipesan harbolnas 1214 desember 2016 pas harga nya murah 29keh pesan nyata pesan tolak kapok deh belanja seller tau barang takut rugi ngejualnya
"Ukuran yg di gambar td sesuai dgn gambar terlalu besar untuk hdd 2.5"". Warna yg datang merah sedangkan di gambar warna hitam.",negatif,ukur gambar sesuai gambar hdd 25 warna merah gambar warna hitam
"Barang sudah sampai dengan selamat, dan pengiriman terhitung cepat. Cuma cukup kecewa karna ini Hard case untuk HDD 3.5 inch, bukan 2.5.inch",negatif,barang selamat kirim hitung cepat kecewa hard case hdd 35 inch 25inch
Saya pesan warna hitam yang datang warna biru,negatif,pesan warna hitam warna biru
Barang ga sesuai gambar. Kegedean,negatif,barang sesuai gambar gede
"Pesannya yg warna hitam, tapi dateng nya malah warna biru.",negatif,pesan warna hitam nya warna biru
"barang terlalu besar untuk ukuran ext hd 2,5"", ni barang ukuran aslinya sekitar 6""... seharusnya judul disesuaikan jd tidak membuat pembeli kecewa.",negatif,barang ukur ext high definition 25 nih barang ukur asli 6 judul sesuai beli kecewa
Jangan sampai beli seller penipu lagi kurang stabil otaknya sudah banyak jadi korban ditolak alasan stock habis,negatif,beli seller tipu stabil otak korban tolak alas sedia habis
"Penipuan nih, nanti barang nya digagalkan dengan alasan stok barang habis. Akhirnya uang konsumen tertahan selama 7 hari lebih.",negatif,tipu nih barang nya gagal alas stok barang habis uang konsumen tahan 7
Leptop mati apa hidup ini,negatif,leptop mati hidup
Mohon tulis harga dengan benar,negatif,mohon tulis harga
Ini beneran laptop apa bukan gan? Bisa di gunakan apa nggk??,negatif,laptop juragan
Ni leptop kondisinya gimana,negatif,nih leptop kondisi
Ni laptop speck nya apa.  Barang hidup atau tidak,negatif,nih laptop speck nya barang hidup
"Ini kondisi laptop gmn ? Mohon dijelaskan detail, thx",negatif,kondisi laptop mohon detail terima kasih
"kenapa seller abal2 bisa di lazada, mengurangi kepercayaan pada lazada..",negatif,seller abal abal lazada percaya lazada
Baru dipakai langsung beberapa menit saja data ga bsa dibaca,negatif,pakai langsung menit data baca
pesan warna gold dikirim silver,negatif,pesan warna gold kirim silver
lebih baik cari yg lain,negatif,cari
"Barang yg dipesan tidak sesuai, Yang dipesan itu flash disk tapi yang dateng micro SD. Hadeh.. mohon lebih teliti lagi. Barang sudah saya kembalikan, mohon segera diproses.",negatif,barang pes sesuai pes flash disk micro sekolah dasar aduh mohon teliti barang mohon proses
"barang yg datang tidak sesuai gambar/pesanan, saya malah di kasih fd model lama, model yg tidak mau saya beli, kecewa saya sama lazada, saya minta pengembalian barang",negatif,barang sesuai gambarpesanan kasih fd model model beli kecewa lazada barang
"pesanan 32GB yang dikirim 16GB, slow respon, ga recomend",negatif,pesan 32gb kirim enam belas giga byte slow respon recomend
"Kapasitas tidak full 32GB, terbaca hanya 28.6GB",negatif,kapasitas full 32gb baca 286gb
Ori ngga ka?,negatif,orisinal kakak
